# index,uuid_len,uuid,perm,max_len,cur_len,value
0,16,0x2800,0x01,2,2,A002
1,16,0x2803,0x01,1,1,02
2,16,0xC300,0x01,1,1,30
3,16,0x2901,0x11,1,1,30
4,16,0x2803,0x01,1,1,02
5,16,0xC301,0x01,512,512,
6,16,0x2901,0x11,512,512,
7,16,0x2803,0x01,1,1,08
8,16,0xC302,0x10,1,1,30
9,16,0x2901,0x01,1,1,01
10,16,0x2803,0x01,1,1,04
11,16,0xC303,0x10,1,1,30
12,16,0x2901,0x10,1,1,30
13,16,0x2803,0x01,1,1,08
14,16,0xC304,0x10,512,512,
15,16,0x2803,0x01,1,1,10
16,16,0xC305,0x01,1,1,00
17,16,0x2902,0x11,2,2,0000
18,16,0x2803,0x01,1,1,20
19,16,0xC306,0x01,1,1,00
20,16,0x2902,0x11,2,2,0000
21,16,0x2803,0x01,1,1,02
22,16,0xC307,0x01,1,1,30
23,16,0x2901,0x11,256,1,30
24,16,0x2800,0x01,2,2,A003
25,16,0x2803,0x01,1,1,02
26,16,0xC400,0x01,1,1,30
27,16,0x2901,0x11,1,1,30
28,16,0x2803,0x01,1,1,02
29,16,0xC401,0x01,1,1,30
30,16,0x2901,0x11,256,1,30
31,16,0x2800,0x01,16,16,0000FFF000001000800000805F9B34FB
32,16,0x2803,0x01,1,1,10
33,128,0x0000FFF100001000800000805F9B34FB,0x01,1,1,00
34,16,0x2902,0x11,2,2,0000
35,16,0x2803,0x01,1,1,04
36,128,0x0000FFF200001000800000805F9B34FB,0x10,1,1,30
38,16,0x2803,0x01,1,1,10
39,128,0x0000FFF300001000800000805F9B34FB,0x01,1,1,00
40,16,0x2902,0x11,2,2,0000
41,16,0x2803,0x01,1,1,04
42,128,0x0000FFF400001000800000805F9B34FB,0x10,1,1,30