param_name,offset,type,size
description,-1,String,0
module_id,-1,integer,0
magic_flag,0,integer,2
version,2,integer,1
reserved1,3,integer,1
tx_max_power,4,integer,1
uart_port,5,integer,1
start_channel,6,integer,1
channel_num,7,integer,1
country_code,8,String,4
uart_baudrate,12,integer,4
uart_tx_pin,16,integer,1
uart_rx_pin,17,integer,1
uart_cts_pin,18,integer,1
uart_rts_pin,19,integer,1
tx_control_pin,20,integer,1
rx_control_pin,21,integer,1
reserved2,22,String,2
platform,24,String,32
module_name,56,String,32